,id,dateTime,value,description,parentCategory,subCategory
29,cb1d5071-d3ec-4669-ab7d-ba42a02b5ca2,2021-04-04T13:27:26+10:00,-15.05,McDonald's,good-life,takeaway
30,13a6435c-17c8-4d0d-9af0-a9d7ad8c4ea0,2021-04-02T20:36:58+11:00,0.10,Round Up,None,None
31,82e1706e-44f5-432c-bee8-b325780acf09,2021-04-02T20:36:57+11:00,-73.90,Noodle City Holland Park,good-life,takeaway
32,1d2ddc83-e899-4a5b-953b-cf40ea9d310b,2021-04-01T16:50:47+11:00,1.00,Round Up,None,None
33,d626d0c0-2505-4845-91de-2b2aabe48f1f,2021-04-01T16:50:46+11:00,-22.00,BWS,good-life,booze
34,f6333dc0-f77b-43e8-8004-a578f4b9d132,2021-04-01T09:02:38+11:00,-167.50,Bailey Ridley,home,rent-and-mortgage
35,360b3b94-0a3d-4a84-95fc-2a3a5c9aa9a1,2021-04-01T03:20:13+11:00,0.26,Interest,None,None
36,ca31bcaa-16d6-4297-b7a9-1eaeb5cfc73f,2021-03-31T23:13:11+11:00,167.50,Transfer from Savings,None,None
37,9ebe8c12-b1a5-49d9-9db9-8c8cd40a164d,2021-03-31T23:13:11+11:00,-167.50,Transfer to Spending,None,None
38,7093877f-a978-4021-bc73-ef8c1c0b70fc,2021-03-30T18:19:46+11:00,0.50,Round Up,None,None
